ESTUDIANTE,promedio_general,promedio_mediana,promedio_min,promedio_max,promedio_std,asistencia_promedio,asistencia_mediana,asistencia_min,asistencia_max,asistencia_std,total_materias,materias_aprobadas,materias_reprobadas,tasa_aprobacion,tasa_reprobacion,max_vez_cursada,promedio_vez_cursada,materias_repetidas,nivel_max,nivel_min,num_periodos,num_materias_distintas,avance_niveles,num_periodos_regulares,materias_nota_cero,materias_asist_cero,materias_nota_menor5,materias_asist_menor50,pct_nota_cero,pct_asist_cero,materias_ingles,registros_especiales,materias_prom_periodo,materias_max_periodo,prom_primer,asist_primer,prom_ultimo,asist_ultimo,cambio_promedio,cambio_asistencia,DESERTOR
Estudiante 186,8.351111111111111,8.39,6.26,9.65,0.8594915014272339,91.25925925925925,100.0,0,100,26.41618471344442,27,26,1,0.9629629629629629,0.037037037037037035,2,1.037037037037037,1,4,1,6,26,3,4,0,2,0,2,0.0,0.07407407407407407,2,2,4.5,7,8.022857142857143,99.0,8.816666666666666,98.66666666666667,0.7938095238095233,-0.3333333333333286,0
Estudiante 187,7.985517241379311,8.15,0.0,9.7,1.6955289655167802,88.17241379310344,100.0,0,100,30.638524961601203,29,27,2,0.9310344827586207,0.06896551724137931,2,1.0344827586206897,1,4,1,7,28,3,4,1,3,1,3,0.034482758620689655,0.10344827586206896,3,3,4.142857142857143,7,8.077142857142857,97.42857142857143,8.644285714285715,99.42857142857143,0.5671428571428585,2.0,0
Estudiante 188,8.365555555555556,8.76,4.12,9.75,1.073589712969937,92.29629629629629,94.0,56,100,10.549570953050523,27,26,1,0.9629629629629629,0.037037037037037035,2,1.037037037037037,1,4,1,5,26,3,4,0,0,1,0,0.0,0.0,1,0,5.4,7,8.26,98.0,8.772857142857143,97.14285714285714,0.5128571428571433,-0.8571428571428612,0
Estudiante 189,8.677307692307693,8.725,7.16,10.0,0.8147075926603738,94.96153846153847,96.0,82,100,5.53158761464207,26,26,0,1.0,0.0,1,1.0,0,4,1,4,26,3,4,0,0,0,0,0.0,0.0,0,0,6.5,7,8.961428571428572,96.71428571428571,8.575000000000001,93.66666666666667,-0.3864285714285707,-3.047619047619037,0
Estudiante 19,9.088666666666667,9.2,7.61,10.0,0.7193634752500359,92.6,100.0,0,100,25.773186509571197,15,15,0,1.0,0.0,1,1.0,0,2,1,3,15,1,2,0,1,0,1,0.0,0.06666666666666667,1,1,5.0,7,8.905714285714286,98.42857142857143,9.16,0.0,0.25428571428571445,-98.42857142857143,0
Estudiante 190,8.597692307692308,8.629999999999999,7.29,9.91,0.6926257730827391,98.65384615384616,100.0,93,100,2.1898366640881313,26,26,0,1.0,0.0,1,1.0,0,4,1,4,26,3,4,0,0,0,0,0.0,0.0,0,0,6.5,7,8.58,100.0,9.049999999999999,99.33333333333333,0.46999999999999886,-0.6666666666666714,0
Estudiante 191,8.910689655172416,8.98,7.05,10.0,0.7015235004437675,88.41379310344827,100.0,0,100,30.711232520946876,29,29,0,1.0,0.0,1,1.0,0,4,1,7,29,3,4,0,3,0,3,0.0,0.10344827586206896,3,3,4.142857142857143,7,8.791428571428572,100.0,9.33,0.0,0.5385714285714283,-100.0,0
Estudiante 192,8.529615384615385,8.53,7.08,10.0,0.8298794166346374,94.76923076923077,96.5,74,100,6.701090611580732,26,26,0,1.0,0.0,1,1.0,0,4,1,4,26,3,4,0,0,0,0,0.0,0.0,0,0,6.5,7,9.302857142857144,100.0,8.165000000000001,93.16666666666667,-1.1378571428571433,-6.833333333333329,0
Estudiante 193,9.10925925925926,9.32,7.48,9.92,0.558355593382003,99.18518518518519,100.0,93,100,2.038797478097117,27,27,0,1.0,0.0,1,1.0,0,4,1,5,27,3,4,0,0,0,0,0.0,0.0,1,0,5.4,7,9.088571428571429,99.0,9.288333333333332,100.0,0.19976190476190325,1.0,0
Estudiante 194,5.9435,7.97,0.0,9.66,3.912257761123835,74.2,98.5,0,100,40.598936983750285,20,14,6,0.7,0.3,1,1.0,0,3,1,3,20,2,3,5,4,6,5,0.25,0.2,0,0,6.666666666666667,7,8.972857142857142,100.0,0.21333333333333335,19.333333333333332,-8.75952380952381,-80.66666666666667,1
